activity	time	p	p_peak	p_smooth
Bowling	1115.0	9.826436868673473e-4	0.797147568593719	0.8131912832927979
Rollerblading	1115.0	1.6182927212682173e-4	0.5082220919499607	0.508783535119845
Golfing	1115.0	8.67836522034238e-4	0.370119466864402	0.3875692040668377
Boating	1115.0	3.177332382448106e-4	0.4717509410158101	0.4801631130924648
Playing baseball	1115.0	2.2321140821380763e-4	0.4781219405043938	0.5468293241939807
Running	1120.0	7.732620297122215e-4	0.5275849231440229	0.541523101269352
Hiking	1120.0	7.761254906931226e-5	0.15342762903837803	0.1558347699723698
Biking	1120.0	6.96564545491912e-4	0.8394452905497263	0.8524745971331728
Walking	1120.0	0.0038820176740130712	0.8396210252866404	0.8360966643265555
Doing yoga	1120.0	3.525173258139469e-4	0.8257192225662089	0.8436728140375113
Fishing	1120.0	9.694790938526467e-4	0.5800229475312928	0.5854492761992581
Dancing	1120.0	3.192859287703914e-4	0.42830363230724994	0.4247111259814642
Playing football	1120.0	4.228496190063702e-4	0.43742475664976654	0.44667124102258354
Softball	1120.0	5.08062837542547e-4	0.8531793679799693	0.8609414206456223
Playing soccer	1120.0	6.43560248905171e-4	0.7994569541112763	0.7930700993458296
Doing aerobics	1120.0	3.4041254721218556e-4	0.5565372163872442	0.545982515678166
Hunting	1120.0	2.965222929553156e-4	0.2728319285478461	0.27416484852430567
Bowling	1120.0	0.0010354611644475015	0.8399945581942913	0.8492977016894612
Rollerblading	1120.0	1.564776298217928e-4	0.49141534980816665	0.5011147588373156
Golfing	1120.0	8.530413635302462e-4	0.36380955014778826	0.36859713895536017
Boating	1120.0	3.089991783172664e-4	0.4587831413217384	0.4665942630823287
Playing baseball	1120.0	2.615029900102156e-4	0.5601430412177792	0.5320244905119805
Running	1125.0	8.08005757138242e-4	0.5512900399860017	0.5472558111897662
Hiking	1125.0	7.926178926368933e-5	0.1566879138218618	0.15367581995662483
Biking	1125.0	6.908438431375016e-4	0.8325511460212314	0.8316302778180181
Walking	1125.0	0.003981715491361406	0.8611841377323173	0.8431502627557644
Doing yoga	1125.0	3.5601191627323756e-4	0.83390477915004535	0.7743379395894193
Fishing	1125.0	9.691406860657163e-4	0.5798204838749978	0.5755215525078883
Dancing	1125.0	3.371894632633293e-4	0.4523201897671868	0.44367678406032746
Playing football	1125.0	4.222256803621933e-4	0.43677931156166455	0.43702636117906074
Softball	1125.0	5.380757584363396e-4	0.9035794425125893	0.8898472512264584
Playing soccer	1125.0	6.43560248905171e-4	0.7994569541112763	0.7961474874297055
Doing aerobics	1125.0	3.2884993571273915e-4	0.5376336134772787	0.5144841167628377
Hunting	1125.0	3.008682706037098e-4	0.2768306884772248	0.2774881950596149
Bowling	1125.0	0.0011226825927529037	0.9107509782803735	0.8896071256674666
Rollerblading	1125.0	1.6039151332591377e-4	0.5037068347538196	0.4880270446780118
Golfing	1125.0	8.719232589912279e-4	0.3718623998538902	0.36570528507934075
Boating	1125.0	3.1604793594577874e-4	0.4692487069094375	0.45886905572010206
Playing baseball	1125.0	2.604131038069448e-4	0.5578084898137683	0.5538613627924155
Running	1130.0	8.250110173879612e-4	0.562892470439274	0.554710034046245
Hiking	1130.0	7.633995674354369e-5	0.1509119170096346	0.1550346453428559
Biking	1130.0	6.828307550303196e-4	0.822894396883097	0.8118509424693703
Walking	1130.0	0.003831272521563468	0.8286456252483356	0.8273367135378108
Doing yoga	1130.0	2.8321540529550226e-4	0.6633898170520038	0.7101699373071592
Fishing	1130.0	9.47245937599203e-4	0.5667212261173742	0.5698228154791872
Dancing	1130.0	3.357628944555729e-4	0.4504065301065455	0.4521553130537361
Playing football	1130.0	4.223181952451904e-4	0.43687501532575107	0.43248099655504973
Softball	1130.0	5.435563840156287e-4	0.9127829431868166	0.9186057235652529
Playing soccer	1130.0	6.355679191478946e-4	0.789528554066564	0.76383708089491
Doing aerobics	1130.0	2.748083367644476e-4	0.44928152042399006	0.47864376450805973
Hunting	1130.0	3.0735804454986036e-4	0.28280196815377395	0.27913976289456605
Bowling	1130.0	0.0011317119493339447	0.9180758405277348	0.9175649659086075
Rollerblading	1130.0	1.4932701008576565e-4	0.46895894947204925	0.4902136585608597
Golfing	1130.0	8.474945246414177e-4	0.36144390523634384	0.36038116863558217
Boating	1130.0	3.02124015636621e-4	0.44857531892913033	0.460348134710459
Playing baseball	1130.0	2.537950643887924e-4	0.5436325573456989	0.5577560492166102
Running	1135.0	8.060381795398834e-4	0.5499475917134592	0.5667470979219975
Hiking	1135.0	7.96746659636385e-5	0.15750410519707123	0.15530670913459235
Biking	1135.0	6.4732637395518e-4	0.7801072845037823	0.8240329172998955
Walking	1135.0	0.0036626741522187687	0.7921803776327795	0.8588513011004867
Doing yoga	1135.0	2.7033321789019616e-4	0.6332152157194282	0.63373909914596
Fishing	1135.0	9.409036395493072e-4	0.5629267364451898	0.5678022984061929
Dancing	1135.0	3.3824730196504044e-4	0.4537392192874758	0.4815911966675733
Playing football	1135.0	4.0966788429458526e-4	0.4237886627777334	0.429925275444946
Softball	1135.0	5.594392946213115e-4	0.9394547849963527	0.9423142810158595
Playing soccer	1135.0	5.655309322615658e-4	0.7025257345068894	0.7422871770987581
Doing aerobics	1135.0	2.7464602570318174e-4	0.4490161596229105	0.44812672244208085
Hunting	1135.0	3.019072200494155e-4	0.2777866320526993	0.282316554818837
Bowling	1135.0	0.0011388520407185107	0.923868078917714	0.9430320998532178
Rollerblading	1135.0	1.5856643000593658e-4	0.4979751914567102	0.5670742845640507
Golfing	1135.0	8.155902448149787e-4	0.3478372008165125	0.3527109130327352
Boating	1135.0	3.1198774187718664e-4	0.46322037829280927	0.4698721388237372
Playing baseball	1135.0	2.669576974874246e-4	0.5718271004903629	0.5825785544488061
Running	1140.0	8.609326170769548e-4	0.5874012316132594	0.5551777018248626
Hiking	1140.0	7.96746659636385e-5	0.15750410519707123	0.149906898872474
Biking	1140.0	7.21169339712014e-4	0.8690970705128072	0.7954712328239163
Walking	1140.0	0.00441884194087751	0.9557279004203448	0.8495397321633457
Doing yoga	1140.0	2.5812200184965493e-4	0.6046122646664481	0.6092137555723086
Fishing	1140.0	9.590091090166822e-4	0.5737589326560147	0.5350399568217533
Dancing	1140.0	4.030198419705478e-4	0.5406278406086986	0.5004985551541908
Playing football	1140.0	4.148139894512524e-4	0.4291121482313536	0.4007428797000303
Softball	1140.0	5.804306398052421e-4	0.9747051148644086	0.9454089229677155
Playing soccer	1140.0	5.915174414233682e-4	0.734807242722821	0.695669324845449
Doing aerobics	1140.0	2.7285161044081547e-4	0.44608248727934197	0.41723062029719293
Hunting	1140.0	3.1122618176140145e-4	0.2863610642500377	0.2505039978656788
Bowling	1140.0	0.0012168625892023351	0.9871523801142045	0.9596320379319878
Rollerblading	1140.0	2.3381393646528182e-4	0.7342887127633928	0.6290851542068499
Golfing	1140.0	8.179688317744042e-4	0.34885163304534933	0.3325756413705468
Boating	1140.0	3.3529173010622747e-4	0.49782071924927174	0.4451769527465242
Playing baseball	1140.0	2.9517829158996924e-4	0.6322760055103566	0.5822712539779822
Running	1145.0	7.74140488401068e-4	0.5281842821478689	0.5472128151214647
Hiking	1145.0	6.814534978336951e-5	0.1347124862232795	0.14230969254787673
Biking	1145.0	6.117300281951071e-4	0.7372093434551592	0.7752990028877099
Walking	1145.0	0.003702115411040544	0.8007109184369126	0.8612678406989401
Doing yoga	1145.0	2.5180421262258876e-4	0.5898137863310497	0.6152351201174171
Fishing	1145.0	7.82964134437994e-4	0.4684342013640554	0.5152611650270899
Dancing	1145.0	3.780472908017411e-4	0.507128605566398	0.5140750654884979
Playing football	1145.0	3.3768810926006513e-4	0.3493278280910038	0.37359208847116454
Softball	1145.0	5.490849022742016e-4	0.9220668690423854	0.9644901295338184
Playing soccer	1145.0	5.229862606410318e-4	0.6496749973066365	0.6723543794923148
